"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
33,241,266,0.0179,"Slc30a4","Pde4b","Olr1",0.1533,0.096,0.165,-0.0021,0.0498,0.0498,-0.0021
33,241,269,0.0086,"Slc30a4","Pde4b","Atg7",0.1626,0.1053,0.3025,0.0072,0.0498,0.0498,0.0072
33,241,270,0.0472,"Slc30a4","Pde4b","Scnn1a",0.124,0.0667,0.3969,-0.0314,0.0498,0.0498,-0.0314
33,241,273,0.0133,"Slc30a4","Pde4b","Far1",0.1579,0.1006,0.5588,0.0025,0.0498,0.0498,0.0025
33,241,276,0.0318,"Slc30a4","Pde4b","Itgam",0.1394,0.0821,0.1764,-0.016,0.0498,0.0498,-0.016
33,241,278,0.0397,"Slc30a4","Pde4b","Stim1",0.1315,0.0742,0.3935,-0.0239,0.0498,0.0498,-0.0239
33,241,279,0.0274,"Slc30a4","Pde4b","Cask",0.1438,0.0865,0.3759,-0.0116,0.0498,0.0498,-0.0116
33,241,280,0.0131,"Slc30a4","Pde4b","Slc35a2",0.1581,0.1008,0.4166,0.0027,0.0498,0.0498,0.0027
33,241,283,0.0418,"Slc30a4","Pde4b","Tsc22d3",0.1294,0.0721,0.1804,-0.026,0.0498,0.0498,-0.026
33,241,284,0.0284,"Slc30a4","Pde4b","Tnfsf13b",0.1428,0.0855,0.4143,-0.0126,0.0498,0.0498,-0.0126
